date,district,latitude,longitude,precip,pressure,humidity_2m,rh_2m,temp_2m,wetbulbtemp_2m,maxtemp_2m,mintemp_2m,temprange_2m,earthskintemp,windspeed_10m,maxwindspeed_10m,minwindspeed_10m,windspeedrange_10m,windspeed_50m,maxwindspeed_50m,minwindspeed_50m,windspeedrange_50m,year,month,day,season,heat_stress_index,drought_index,is_monsoon,is_winter,temp_2m_lag1,precip_lag1,wetbulb_diff,avg_windspeed,max_avg_windspeed,temp_2m_scaled,precip_scaled,humidity_2m_scaled,windspeed_10m_scaled,windspeed_50m_scaled,earthskintemp_scaled,heat_stress_index_scaled,drought_index_scaled
2006-05-17,Myagdi,28.4,83.6,0.62,79.52,9.94,55.17,19.65,9.98,25.75,14.76,10.99,21.1,2.53,5.29,0.45,4.85,2.29,4.31,0.44,3.88,2006,5,17,Spring,20.644,1.588393686362152,0,0,17.12,0.02,9.669999999999998,2.41,4.8,0.616447985004686,0.028054298642533934,0.46663321625689913,0.300469483568075,0.15070643642072215,0.6385869565217391,0.6271873273162645,0.681122639009531
1995-09-14,Myagdi,28.4,83.6,0.43,79.31,13.14,83.76,17.37,14.08,21.46,14.32,7.14,18.0,1.86,4.03,0.28,3.75,1.85,3.3,0.41,2.89,1995,9,14,Autumn,18.684,1.5435701654318996,1,0,19.65,0.62,3.290000000000001,1.855,3.665,0.5630271790065604,0.019457013574660634,0.6271951831409937,0.1431924882629108,0.0816326530612245,0.5737876254180602,0.5820593111070179,0.645735883774143
1990-10-11,Myagdi,28.4,83.6,0.0,79.7,10.22,79.33,14.39,9.94,18.69,11.68,7.02,14.36,1.78,4.07,0.24,3.82,1.71,3.4,0.32,3.08,1990,10,11,Autumn,15.412,1.4932052483598874,0,0,17.37,0.43,4.450000000000001,1.745,3.7350000000000003,0.4932052483598875,0.0,0.4806823883592574,0.12441314553990612,0.059654631083202486,0.49770066889632103,0.5067231534352552,0.6059743711600137
1993-06-23,Myagdi,28.4,83.6,0.27,79.11,11.42,54.98,21.86,12.02,27.36,16.27,11.09,24.0,2.61,5.07,0.27,4.81,2.2,3.99,0.22,3.77,1993,6,23,Monsoon,23.002,1.656011483967821,1,0,14.39,0.0,9.84,2.4050000000000002,4.53,0.6682286785379568,0.012217194570135747,0.5408931259407928,0.31924882629107976,0.13657770800627947,0.6992056856187291,0.6814790937557562,0.734504756339205
2000-05-02,Myagdi,28.4,83.6,0.0,79.26,2.43,13.72,19.37,-8.49,27.23,11.94,15.28,20.04,2.98,5.9,0.81,5.09,2.87,4.93,1.02,3.91,2000,5,2,Spring,19.613,1.609887535145267,0,0,21.86,0.27,27.86,2.925,5.415,0.6098875351452671,0.0,0.08981435022579028,0.4061032863849765,0.24175824175824176,0.6164297658862876,0.6034490698102781,0.6980913543217008
2016-07-28,Myagdi,28.4,83.6,13.55,79.21,15.23,97.54,17.25,16.42,19.17,15.82,3.35,17.44,2.41,4.45,1.14,3.31,2.74,4.01,1.94,2.07,2016,7,28,Monsoon,18.773,0.9470933856925365,1,0,19.37,0.0,0.8299999999999983,2.575,4.23,0.5602155576382379,0.6131221719457014,0.7320622177621676,0.2723004694835681,0.22135007849293567,0.5620819397993311,0.5841084914348867,0.17483628976247512
2015-05-12,Myagdi,28.4,83.6,2.17,79.37,9.12,58.68,17.27,8.7,23.1,12.05,11.05,17.17,2.74,5.37,0.61,4.75,2.88,4.8,0.78,4.02,2015,5,12,Spring,18.182,1.4624941159507563,0,0,17.25,13.55,8.57,2.81,5.085,0.560684161199625,0.09819004524886878,0.42548921224284997,0.3497652582159625,0.24332810047095757,0.556438127090301,0.5705010130779149,0.5817289013038064
1993-12-04,Nawalparasi,27.6,84.0,0.0,92.95,2.94,23.52,16.4,-4.38,24.34,10.46,13.88,13.14,1.85,3.18,0.63,2.54,2.24,3.44,0.88,2.56,1993,12,4,Winter,16.694,1.5402999062792877,0,1,17.27,2.17,20.779999999999998,2.045,3.31,0.5402999062792877,0.0,0.11540391369794281,0.14084507042253525,0.14285714285714288,0.4721989966555184,0.5362405599557929,0.6431541173758756
1995-05-02,Nawalparasi,27.6,84.0,0.0,92.1,4.4,14.3,31.21,0.75,40.22,22.53,17.68,31.94,4.88,9.41,1.69,7.72,6.63,10.84,1.92,8.92,1995,5,2,Spring,31.650000000000002,1.8873008434864105,0,0,16.4,0.0,30.46,5.755,10.125,0.8873008434864105,0.0,0.18866031108881087,0.8521126760563379,0.8320251177394035,0.865175585284281,0.8805949530300241,0.9171004066579208
1986-09-17,Nawalparasi,27.6,84.0,0.22,92.44,13.52,62.18,25.19,17.2,31.28,20.54,10.74,25.47,1.84,3.82,0.29,3.54,2.16,3.76,0.25,3.51,1986,9,17,Autumn,26.542,1.7362964203776818,1,0,31.21,0.0,7.990000000000002,2.0,3.79,0.7462511715089035,0.009954751131221719,0.6462619167084798,0.13849765258215962,0.130298273155416,0.729933110367893,0.7629858169091914,0.7978871800056816
