DNM,DCD,DISTRICT_CODE,DISTRICT_NAME,VG_P_200304,VG_P_200405,VG_P_200506,VG_P_200607,VG_P_200708,VG_P_200809,VG_P_200910,VG_P_201011,VG_P_201112,VG_P_201213,VG_P_201314,VG_A_200304,VG_A_200405,VG_A_200506,VG_A_200607,VG_A_200708,VG_A_200809,VG_A_200910,VG_A_201011,VG_A_201112,VG_A_201213,VG_A_201314,VG_Y_200304,VG_Y_200405,VG_Y_200506,VG_Y_200607,VG_Y_200708,VG_Y_200809,VG_Y_200910,VG_Y_201011,VG_Y_201112,VG_Y_201213,VG_Y_201314
Kathmandu,27,27,Kathmandu,39360,36360.0,38559,40178,40300,31941.0,36153.6,34720.59,43951.0,40263.0,35186.0,3206,3230,3391,3544,3050,1842.0,1997.0,2653.0,1940.0,2188.0,2025.0,12.276980661260136,11.256965944272446,11.370982011206134,11.336907449209932,13.21311475409836,17.34039087947883,18.10395593390085,13.087293629852995,22.655154639175258,18.401736745886655,17.375802469135802
Khotang,13,13,Khotang,14561,14583.0,15465,36185,84666,91992.0,105091.0,15076.1,125541.3,128386.5,135177.8,1500,1500,1575,3575,8115,8403.0,9979.0,1278.0,11935.5,12371.0,12961.0,9.707333333333333,9.722,9.81904761904762,10.121678321678322,10.433271719038817,10.947518743305961,10.531215552660587,11.796635367762129,10.518310921201458,10.378021178562769,10.429581050844842
Lalitpur,25,26,Lalitpur,42612,38563.0,40895,42613,43255,64825.78,63116.02,37027.0,52900.0,53114.0,48630.0,3326,3355,3522,3680,3636,4332.75,3884.5,1906.0,2680.0,2690.0,2476.0,12.811785929043896,11.49418777943368,11.61130039750142,11.579619565217392,11.896314631463147,14.961809474352316,16.248170935770368,19.42654774396642,19.738805970149254,19.744981412639405,19.640549273021
Lamjung,37,37,Lamjung,17500,15938.0,16902,18679,20643,20131.0,24882.6,28768.7,31122.5,35000.41,35538.87,1745,1671,1754,1847,1945,2020.0,2463.0,3036.0,3290.0,3349.0,3418.0,10.02865329512894,9.538001196888091,9.636259977194984,10.113156469951273,10.6133676092545,9.965841584158415,10.102557856272837,9.475856389986825,9.459726443768997,10.451003284562557,10.397562902282036
Mahottari,18,21,Mahottari,75500,64732.0,68645,71528,74532,70644.6,84101.5,146768.0,89640.45,90348.45,89988.45,6360,5860,6153,6430,6719,7137.0,7253.0,10467.0,7778.5,7913.5,7873.0,11.871069182389936,11.04641638225256,11.156346497643426,11.124105754276828,11.092722131269534,9.898360655737706,11.595408796360127,14.021973822489729,11.524130616442758,11.417002590509888,11.430007620983107
Manang,41,39,Manang,946,1293.0,1371,1340,1310,1494.0,1808.5,2514.0,1593.56,1757.2,1620.7,115,117,122,120,118,124.0,275.5,186.0,191.1,156.0,168.9,8.226086956521739,11.051282051282051,11.237704918032787,11.166666666666666,11.101694915254237,12.048387096774194,6.56442831215971,13.516129032258064,8.338880167451595,11.264102564102565,9.595618709295442
Morang,5,9,Morang,72565,86900.0,92161,87320,99731,98572.0,107495.5,75044.5,85915.0,91547.0,122412.5,6534,8515,8940,6390,8305,8481.0,9372.0,5890.0,6922.0,7048.0,7576.0,11.105754514845424,10.205519671168526,10.308836689038031,13.665101721439749,12.008549066827213,11.622686004008962,11.46985702091336,12.74100169779287,12.411875180583646,12.989074914869466,16.157932946145724
Mugu,65,53,Mugu,3029,525.0,556,2605,3240,1896.0,2111.5,1215.0,4520.0,4804.5,3413.6,369,75,78,922,722,636.0,628.5,143.0,629.0,639.0,289.5,8.208672086720867,7.0,7.128205128205129,2.8253796095444685,4.487534626038781,2.981132075471698,3.3595863166268893,8.496503496503497,7.1860095389507155,7.518779342723005,11.791364421416235
Mustang,42,48,Mustang,2064,2010.0,2131,2446,2808,2450.0,2477.0,4577.0,2514.0,2629.5,2613.5,196,155,162,182,204,185.0,185.0,484.0,188.0,213.0,224.7,10.53061224489796,12.96774193548387,13.154320987654321,13.43956043956044,13.764705882352942,13.243243243243244,13.389189189189189,9.456611570247935,13.372340425531915,12.345070422535212,11.631063640409435
Myagdi,43,49,Myagdi,6610,8580.0,9099,7655,7655,8415.0,9088.0,12027.5,9336.7,9840.8,10310.0,625,717,752,795,795,816.0,820.0,901.0,848.0,874.0,937.0,10.576,11.96652719665272,12.099734042553191,9.628930817610064,9.628930817610064,10.3125,11.082926829268292,13.349056603773585,11.010259433962265,11.25949656750572,11.003201707577375
Nawalparasi,48,42,Nawalparasi,44135,50472.0,53525,55773,58115,58230.0,53201.0,80123.9,57570.0,57805.5,56006.5,4000,4269,4482,4684,4895,5220.0,4646.0,3835.5,4763.0,4600.0,4600.0,11.03375,11.82290934645116,11.942213297634984,11.907130657557643,11.872318692543411,11.155172413793103,11.450925527335341,20.89007952027115,12.086920008398069,12.566413043478262,12.175326086956522
Nuwakot,28,29,Nuwakot,18145,21990.0,23320,24299,28319,32094.0,32667.5,67630.25,34817.0,36149.5,39248.0,1970,2315,2430,2539,2653,2561.0,2615.5,5733.0,2721.5,2751.5,3029.5,9.210659898477157,9.498920086393088,9.59670781893004,9.570303269003544,10.674330946098756,12.531823506442796,12.489963678073027,11.796659689516833,12.793312511482638,13.138106487370525,12.955273147384057
Okhaldhunga,12,12,Okhaldhunga,11016,8600.0,9119,11570,14680,14015.9,13888.0,17534.54,15170.4,11556.5,12399.5,1040,1050,1102,1060,1020,1196.0,1204.0,1134.0,1256.0,1069.0,1157.0,10.592307692307692,8.19047619047619,8.274954627949183,10.915094339622641,14.392156862745098,11.718979933110367,11.534883720930232,15.462557319223986,12.078343949044585,10.810570626753975,10.71694036300778
Palpa,47,43,Palpa,15643,26720.0,28335,24785,25680,25935.0,26247.1,9924.7,28649.0,32773.0,33193.0,1379,2062,2165,1965,1983,1995.0,2019.0,890.5,2037.0,2050.0,2078.0,11.343727338651197,12.958292919495635,13.087759815242494,12.61323155216285,12.950075642965205,13.0,13.000049529470035,11.145087029758564,14.064310260186549,15.986829268292682,15.973532242540905
Panchthar,2,2,Panchthar,5850,6943.0,7363,7672,7994,11523.77,11409.65,46577.0,12923.5,18387.33,22004.13,794,779,817,854,893,1069.0,1109.8,3332.0,1306.5,1712.9,2046.1,7.367758186397985,8.912708600770218,9.012239902080783,8.98360655737705,8.951847704367301,10.779953227315248,10.280816363308704,13.978691476590637,9.89169536930731,10.734619650884465,10.754181125067202
Parbat,44,50,Parbat,10630,12220.0,12958,7073,7075,6483.4,7140.56,7613.19,8085.82,8640.8,9362.15,1041,1081,1135,635,655,605.0,615.1,6025.5,654.0,729.0,772.7,10.21133525456292,11.304347826086957,11.416740088105726,11.138582677165354,10.801526717557252,10.716363636363635,11.608779060315396,1.263495145631068,12.363639143730886,11.852949245541836,12.116151158276173
Parsa,34,33,Parsa,45671,63720.0,67575,43025,45336,49753.0,50195.3,90174.0,57250.0,59500.0,60990.0,4116,5238,5499,2435,2710,2858.0,2860.5,6200.0,3200.0,3335.0,3423.0,11.095966958211855,12.164948453608247,12.288597926895799,17.6694045174538,16.729151291512917,17.408327501749476,17.54773640971858,14.544193548387097,17.890625,17.841079460269864,17.817703768624014
Pyuthan,52,59,Pyuthan,8433,8985.0,9529,9270,9175,9937.0,10061.0,10551.215,11041.43,11836.96,13139.68,864,898,942,884,940,1025.0,1036.0,2096.0,1159.9,1291.0,1338.7,9.760416666666666,10.005567928730512,10.115711252653927,10.486425339366516,9.76063829787234,9.694634146341464,9.711389961389962,5.033976622137405,9.51929476679024,9.168830364058868,9.815253604242923
Ramechhap,21,18,Ramechhap,7784,7784.0,8254,6196,8169,9496.43,10553.53,22779.0,9395.0,9900.0,10093.0,955,973,1021,540,900,806.5,845.5,2197.0,839.5,889.5,900.5,8.150785340314137,8.0,8.084231145935357,11.474074074074075,9.076666666666666,11.774866707997521,12.48199881726789,10.368229403732363,11.191185229303157,11.129848229342327,11.208217656857302
Rasuwa,29,28,Rasuwa,3447,3526.0,3739,3896,4060,4092.0,4370.5,4475.75,4581.0,4794.5,4763.6,429,412,432,451,471,415.0,444.0,5762.5,491.0,503.7,491.5,8.034965034965035,8.558252427184467,8.655092592592593,8.638580931263858,8.61995753715499,9.860240963855421,9.843468468468469,0.776702819956616,9.329938900203667,9.518562636489975,9.691963377416075
Rautahat,32,31,Rautahat,69546,73204.0,77632,80893,84291,88263.0,109530.0,179297.0,117971.3,104365.0,107824.0,5917,6075,6378,6665,6665,6813.0,10185.0,11769.0,10740.0,9947.0,10096.0,11.753591346966369,12.050041152263374,12.17184070241455,12.136984246061516,12.646811702925731,12.955085865257596,10.754050073637703,15.234684340215821,10.98429236499069,10.492108173318588,10.67987321711569
Rolpa,53,58,Rolpa,6432,8026.0,8511,9764,11201,9360.0,8415.4,10687.3,9799.8,14097.55,14097.55,727,727,763,752,841,780.0,947.22,1073.4,1063.9,1492.18,1492.18,8.847317744154058,11.039889958734525,11.154652686762779,12.98404255319149,13.318668252080856,12.0,8.88431409809759,9.956493385504004,9.211204060532003,9.447620260290313,9.447620260290313
Rukum,54,57,Rukum,15369,14054.0,14904,19552,19617,19552.0,21598.0,9799.8,25418.0,14581.86,22034.75,1650,1625,1706,1650,1660,1667.0,1815.0,1063.9,2132.1,1430.9,1913.7,9.314545454545454,8.648615384615384,8.736225087924971,11.84969696969697,11.817469879518072,11.72885422915417,11.899724517906336,9.211204060532003,11.921579663242813,10.190691173387378,11.514213304070648
Rupandehi,49,44,Rupandehi,34835,38190.0,40498,45485,41231,51095.0,72527.0,52800.0,83606.62,94022.0,97045.0,3095,3104,3259,2711,2948,3090.0,3584.0,3350.0,3952.67,4468.0,4600.0,11.255250403877222,12.3034793814433,12.426511199754525,16.777941718922907,13.986092265943013,16.535598705501616,20.236328125,15.761194029850746,21.151935274131155,21.04341987466428,21.096739130434784
Salyan,55,61,Salyan,12976,15823.0,16780,31369,33640,17668.97,22427.72,5619.0,23103.5,23880.2,26392.2,1350,1404,1474,2216,2250,1641.3,2035.0,598.0,2066.0,2073.0,2346.0,9.611851851851851,11.26994301994302,11.383989145183175,14.155685920577618,14.95111111111111,10.765228782063,11.02099262899263,9.396321070234114,11.182720232333011,11.5196333815726,11.249872122762149
Sankhuwasabha,9,5,Sankhuwasabha,11647,12082.0,12812,14770,10756,14502.0,16855.0,7203.8,13874.52,14004.85,16304.0,1160,1168,1226,1466,1099,1327.5,1399.4,487.7,1470.0,1510.75,1595.5,10.04051724137931,10.344178082191782,10.450244698205546,10.075034106412005,9.787079162875342,10.924293785310734,12.044447620408747,14.770965757637892,9.438448979591836,9.270130729769981,10.218740206831715
Saptari,15,15,Saptari,95500,95444.0,101221,109598,118668,171942.0,183305.0,67615.0,190851.0,144829.3,146021.3,8489,8500,8925,8860,8795,14140.0,14185.0,4594.5,14650.0,11683.5,11815.0,11.249852750618448,11.22870588235294,11.341288515406163,12.369977426636568,13.492666287663445,12.15997171145686,12.92245329573493,14.71650886930025,13.027372013651878,12.396054264561132,12.358975878121031
Sarlahi,19,22,Sarlahi,77258,116987.0,124063,129274,134700,140306.0,137899.0,110917.0,117792.0,139342.0,123152.5,7065,9121,9577,10008,10458,10606.0,9950.0,10310.0,8910.0,10325.0,9555.0,10.935314932767161,12.826115557504659,12.954265427586927,12.917066346922462,12.880091795754446,13.228927022440129,13.859195979899498,10.75819592628516,13.22020202020202,13.495593220338984,12.88880167451596
Sindhuli,20,19,Sindhuli,17875,18911.0,20054,19483,18928,19349.0,21372.0,21810.0,22248.0,11785.0,30029.0,1679,1745,1832,1857,1882,1791.5,2038.0,8694.0,2155.0,1710.0,3245.0,10.646217986896962,10.837249283667623,10.946506550218341,10.491653204092623,10.057385759829968,10.800446553167736,10.486751717369971,2.5086266390614216,10.323897911832947,6.891812865497076,9.253929121725731
