date,district,latitude,longitude,precip,pressure,humidity_2m,rh_2m,temp_2m,wetbulbtemp_2m,maxtemp_2m,mintemp_2m,temprange_2m,earthskintemp,windspeed_10m,maxwindspeed_10m,minwindspeed_10m,windspeedrange_10m,windspeed_50m,maxwindspeed_50m,minwindspeed_50m,windspeedrange_50m,year,month,day,season
2000-05-02,Mugu,29.5,82.1,0.0,61.82,1.35,16.17,4.25,-17.15,13.24,-3.74,16.98,6.42,2.45,4.94,0.35,4.6,2.64,4.56,0.43,4.13,2000,5,2,Spring
2016-07-28,Mugu,29.5,82.1,4.89,61.76,9.6,83.64,8.79,5.91,13.76,4.56,9.2,10.61,3.06,6.58,0.27,6.3,3.03,6.11,0.32,5.79,2016,7,28,Monsoon
2015-05-12,Mugu,29.5,82.1,0.73,61.85,6.38,77.12,4.09,0.25,10.09,-0.57,10.67,6.12,2.41,5.47,0.37,5.1,2.36,4.81,0.65,4.16,2015,5,12,Spring
1993-12-04,Mustang,28.9,83.8,0.0,63.31,1.16,20.13,-0.57,-18.68,7.73,-6.16,13.9,-5.15,2.12,5.42,0.75,4.67,2.12,5.06,0.87,4.19,1993,12,4,Winter
1995-05-02,Mustang,28.9,83.8,0.0,63.35,2.82,31.7,5.48,-9.74,12.74,-0.22,12.96,7.27,3.44,7.82,0.25,7.58,3.33,7.25,0.12,7.12,1995,5,2,Spring
1986-09-17,Mustang,28.9,83.8,0.01,63.44,5.68,60.49,6.28,-2.4,13.58,1.23,12.34,6.49,2.26,5.19,0.18,5.01,1.92,3.92,0.24,3.68,1986,9,17,Autumn
2006-05-17,Mustang,28.9,83.8,0.78,63.59,6.85,65.8,7.82,0.98,15.03,1.84,13.2,10.13,2.55,5.48,0.7,4.78,2.14,4.0,0.96,3.04,2006,5,17,Spring
1995-09-14,Mustang,28.9,83.8,0.37,63.39,8.36,81.39,7.56,3.54,13.11,3.44,9.67,9.05,2.31,5.29,0.62,4.67,2.19,4.38,0.78,3.6,1995,9,14,Autumn
1990-10-11,Mustang,28.9,83.8,0.0,63.53,5.57,71.75,3.57,-3.06,9.68,-0.52,10.2,4.14,2.08,5.34,0.34,5.0,1.89,4.42,0.45,3.98,1990,10,11,Autumn
1993-06-23,Mustang,28.9,83.8,0.25,63.36,8.12,63.74,10.74,3.33,17.33,4.39,12.95,13.52,2.89,5.67,0.14,5.53,2.38,4.32,0.33,3.99,1993,6,23,Monsoon
2000-05-02,Mustang,28.9,83.8,0.0,63.36,1.84,20.96,5.34,-14.26,12.92,-1.25,14.17,7.42,2.18,4.06,0.34,3.72,2.09,3.26,0.42,2.83,2000,5,2,Spring
2016-07-28,Mustang,28.9,83.8,8.09,63.35,10.35,96.97,8.1,7.02,11.35,5.84,5.51,8.79,2.23,4.66,0.36,4.3,2.15,4.0,0.53,3.47,2016,7,28,Monsoon
2015-05-12,Mustang,28.9,83.8,2.25,63.42,6.42,75.2,4.89,0.31,10.6,-0.54,11.14,5.04,1.77,4.11,0.44,3.67,1.58,3.23,0.52,2.7,2015,5,12,Spring
1993-12-04,Myagdi,28.4,83.6,0.0,79.56,2.08,21.55,10.03,-10.54,17.23,4.68,12.54,5.24,1.77,4.01,0.15,3.86,1.66,3.21,0.05,3.16,1993,12,4,Winter
1995-05-02,Myagdi,28.4,83.6,0.0,79.23,3.54,18.74,20.4,-4.22,28.66,12.85,15.81,21.29,4.01,8.24,1.3,6.94,4.61,8.48,1.49,6.99,1995,5,2,Spring
1986-09-17,Myagdi,28.4,83.6,0.02,79.39,10.02,65.06,17.12,9.64,22.89,12.94,9.95,16.93,2.15,5.05,0.17,4.88,1.98,4.06,0.25,3.81,1986,9,17,Autumn
2006-05-17,Myagdi,28.4,83.6,0.62,79.52,9.94,55.17,19.65,9.98,25.75,14.76,10.99,21.1,2.53,5.29,0.45,4.85,2.29,4.31,0.44,3.88,2006,5,17,Spring
1995-09-14,Myagdi,28.4,83.6,0.43,79.31,13.14,83.76,17.37,14.08,21.46,14.32,7.14,18.0,1.86,4.03,0.28,3.75,1.85,3.3,0.41,2.89,1995,9,14,Autumn
1990-10-11,Myagdi,28.4,83.6,0.0,79.7,10.22,79.33,14.39,9.94,18.69,11.68,7.02,14.36,1.78,4.07,0.24,3.82,1.71,3.4,0.32,3.08,1990,10,11,Autumn
1993-06-23,Myagdi,28.4,83.6,0.27,79.11,11.42,54.98,21.86,12.02,27.36,16.27,11.09,24.0,2.61,5.07,0.27,4.81,2.2,3.99,0.22,3.77,1993,6,23,Monsoon
2000-05-02,Myagdi,28.4,83.6,0.0,79.26,2.43,13.72,19.37,-8.49,27.23,11.94,15.28,20.04,2.98,5.9,0.81,5.09,2.87,4.93,1.02,3.91,2000,5,2,Spring
2016-07-28,Myagdi,28.4,83.6,13.55,79.21,15.23,97.54,17.25,16.42,19.17,15.82,3.35,17.44,2.41,4.45,1.14,3.31,2.74,4.01,1.94,2.07,2016,7,28,Monsoon
2015-05-12,Myagdi,28.4,83.6,2.17,79.37,9.12,58.68,17.27,8.7,23.1,12.05,11.05,17.17,2.74,5.37,0.61,4.75,2.88,4.8,0.78,4.02,2015,5,12,Spring
1993-12-04,Nawalparasi,27.6,84.0,0.0,92.95,2.94,23.52,16.4,-4.38,24.34,10.46,13.88,13.14,1.85,3.18,0.63,2.54,2.24,3.44,0.88,2.56,1993,12,4,Winter
1995-05-02,Nawalparasi,27.6,84.0,0.0,92.1,4.4,14.3,31.21,0.75,40.22,22.53,17.68,31.94,4.88,9.41,1.69,7.72,6.63,10.84,1.92,8.92,1995,5,2,Spring
1986-09-17,Nawalparasi,27.6,84.0,0.22,92.44,13.52,62.18,25.19,17.2,31.28,20.54,10.74,25.47,1.84,3.82,0.29,3.54,2.16,3.76,0.25,3.51,1986,9,17,Autumn
2006-05-17,Nawalparasi,27.6,84.0,0.16,92.48,11.98,43.8,29.14,15.46,35.14,23.8,11.34,30.7,2.32,3.76,0.91,2.85,2.8,3.84,1.04,2.8,2006,5,17,Spring
1995-09-14,Nawalparasi,27.6,84.0,0.29,92.32,16.16,74.65,25.06,20.14,29.74,21.13,8.61,25.62,1.81,3.21,0.78,2.43,2.35,3.42,0.7,2.72,1995,9,14,Autumn
1990-10-11,Nawalparasi,27.6,84.0,0.0,92.9,13.26,72.14,22.48,17.06,27.29,18.8,8.49,22.25,1.58,3.01,0.22,2.8,1.96,3.55,0.31,3.24,1990,10,11,Autumn
